ILMID	Multimap	SNPatCpGorExtensionBase	Liftover_fail
cg00379337	1	NA	NA
cg00380428	1	NA	NA
cg00380835	NA	1	NA
cg00380846	1	NA	NA
cg00381054	1	NA	NA
cg00381604	1	NA	NA
cg00382572	1	NA	NA
cg00382740	NA	1	NA
cg00383190	1	NA	NA
cg00386405	NA	1	NA
cg00388637	1	NA	NA
cg00388732	1	NA	NA
cg00388905	1	NA	NA
cg00389036	1	NA	NA
cg00389176	NA	1	NA
cg00389406	NA	1	NA
cg00389785	1	NA	NA
cg00390191	1	NA	NA
cg00391025	1	NA	NA
cg00391067	NA	1	NA
cg00391352	1	NA	NA
cg00391884	1	NA	NA
cg00392257	1	NA	NA
cg00392396	NA	1	NA
cg00393985	NA	1	NA
cg00394725	1	NA	NA
cg00395140	1	NA	NA
cg00396991	1	NA	NA
cg00397059	1	NA	NA
cg00397113	1	NA	NA
cg00397714	NA	1	NA
cg00398265	1	NA	NA
cg00398728	NA	1	NA
cg00399107	1	NA	NA
cg00399683	1	NA	NA
cg00399895	1	NA	NA
cg00400085	1	NA	NA
cg00400654	1	NA	NA
cg00400827	1	NA	NA
cg00401234	1	NA	NA
cg00401665	NA	1	NA
cg00401678	1	NA	NA
cg00401773	1	NA	NA
cg00401844	1	NA	NA
cg00402551	1	NA	NA
cg00402737	1	NA	NA
cg00403874	1	NA	NA
cg00405494	1	NA	NA
cg00405596	1	NA	NA
cg00405769	1	NA	NA
cg00406542	1	1	NA
cg00406621	1	NA	NA
cg00406844	1	NA	NA
cg00407452	1	NA	NA
cg00407484	NA	1	NA
cg00408021	1	NA	NA
cg00409201	1	NA	NA
cg00409434	NA	1	NA
cg00410323	1	NA	NA
cg00410831	NA	1	NA
cg00412067	1	NA	NA
cg00413066	NA	1	NA
cg00413370	1	NA	NA
cg00413849	1	NA	NA
cg00413870	1	NA	NA
cg00415702	1	NA	NA
cg00417710	1	NA	NA
cg00417819	1	NA	NA
cg00418479	1	NA	NA
cg00419314	1	NA	NA
cg00419509	1	NA	NA
cg00420018	1	NA	NA
cg00420847	1	NA	NA
cg00421990	1	NA	NA
cg00422995	1	NA	NA
cg00423014	1	NA	NA
cg00423700	1	NA	NA
cg00424152	NA	1	NA
cg00424588	NA	1	NA
cg00426968	NA	1	NA
cg00428214	1	NA	NA
cg00428468	NA	1	NA
cg00428476	1	NA	NA
cg00428487	1	NA	NA
cg00428638	NA	1	NA
cg00429618	1	NA	NA
cg00430613	1	NA	NA
cg00431924	1	NA	NA
cg00436209	1	NA	NA
cg00436435	NA	1	NA
cg00437395	NA	1	NA
cg00437411	NA	1	NA
cg00439323	NA	1	NA
cg00439733	NA	1	NA
cg00440263	1	NA	NA
cg00440702	1	NA	NA
cg00440797	1	NA	NA
cg00441703	1	NA	NA
cg00441754	1	NA	NA
cg00442205	NA	1	NA
cg00442267	NA	1	NA
cg00442458	1	NA	NA
cg00442924	NA	1	NA
cg00443111	1	NA	NA
cg00443194	1	NA	NA
cg00443543	NA	1	NA
cg00445548	NA	1	NA
cg00446413	1	NA	NA
cg00446803	NA	1	NA
cg00447557	1	NA	NA
cg00448235	1	NA	NA
cg00448891	1	NA	NA
cg00448895	NA	1	NA
cg00449000	NA	1	NA
cg00449384	NA	1	NA
cg00450960	1	NA	NA
cg00451807	1	NA	NA
cg00452266	NA	1	NA
cg00453190	NA	1	NA
cg00454696	1	NA	NA
cg00454993	1	NA	NA
cg00455018	1	NA	NA
cg00455164	1	NA	NA
cg00455514	1	NA	NA
cg00455796	NA	1	NA
cg00455883	1	NA	NA
cg00455892	1	NA	NA
cg00456326	NA	1	NA
cg00456343	1	NA	NA
cg00456551	1	NA	NA
cg00456637	1	NA	NA
cg00456685	NA	1	NA
cg00457234	1	NA	NA
cg00457495	1	NA	NA
cg00457596	1	NA	NA
cg00457932	NA	1	NA
cg00458156	1	NA	NA
cg00458157	NA	1	NA
cg00459218	NA	1	NA
cg00459243	1	NA	NA
cg00459312	NA	1	NA
cg00459447	1	NA	NA
cg00459509	NA	1	NA
cg00459550	1	NA	NA
cg00459845	1	NA	NA
cg00460690	1	NA	NA
cg00461506	1	NA	NA
cg00461901	NA	1	NA
cg00462104	1	NA	NA
cg00462488	NA	1	NA
cg00463949	1	NA	NA
cg00466116	NA	1	NA
cg00467160	1	NA	NA
cg00468410	1	NA	NA
cg00469630	1	NA	NA
cg00470505	NA	1	NA
cg00470565	1	NA	NA
cg00470882	1	NA	NA
cg00470972	1	NA	NA
cg00471110	1	NA	NA
cg00471810	1	NA	NA
cg00472454	1	NA	NA
cg00472640	1	NA	NA
cg00473179	1	NA	NA
cg00473597	NA	1	NA
cg00473624	1	NA	NA
cg00473702	1	NA	NA
cg00474039	1	NA	NA
cg00474091	NA	1	NA
cg00474373	NA	1	NA
cg00475112	1	NA	NA
cg00475182	1	NA	NA
cg00476432	1	NA	NA
cg00476882	NA	1	NA
cg00476896	1	NA	NA
cg00477538	1	NA	NA
cg00477557	1	NA	NA
cg00477817	1	NA	NA
cg00479718	1	NA	NA
cg00479885	1	NA	NA
cg00480481	NA	1	NA
cg00480643	1	NA	NA
cg00481161	NA	1	NA
cg00481415	1	NA	NA
cg00483718	1	NA	NA
cg00483891	NA	1	NA
cg00485171	NA	1	NA
cg00485391	1	NA	NA
cg00487226	1	NA	NA
cg00487351	NA	1	NA
cg00487526	1	NA	NA
cg00488283	1	1	NA
cg00488829	NA	1	NA
cg00489213	1	NA	NA
cg00489902	1	NA	NA
cg00490052	NA	1	NA
cg00490097	1	NA	NA
cg00490606	1	NA	NA
cg00491210	1	NA	NA
cg00491904	NA	1	NA
cg00492092	1	NA	NA
cg00492108	NA	1	NA
cg00492362	NA	1	NA
cg00492574	NA	1	NA
cg00492784	1	NA	NA
cg00492794	1	NA	NA
cg00493019	NA	1	NA
cg00493300	1	NA	NA
cg00493314	NA	1	NA
cg00493389	NA	1	NA
cg00493716	NA	1	NA
cg00495570	1	NA	NA
cg00496791	1	NA	NA
cg00496805	1	NA	NA
cg00498434	NA	1	NA
cg00499509	1	NA	NA
cg00500229	1	NA	NA
cg00500626	NA	1	NA
cg00501169	1	NA	NA
cg00501774	NA	1	NA
cg00501886	1	NA	NA
cg00502035	1	NA	NA
cg00502222	1	NA	NA
cg00502469	NA	1	NA
cg00504088	1	NA	NA
cg00504248	1	NA	NA
cg00504896	1	NA	NA
cg00506056	1	NA	NA
cg00506198	NA	1	NA
cg00506859	1	NA	NA
cg00506935	NA	1	NA
cg00507855	NA	1	NA
cg00507915	NA	1	NA
cg00508604	1	NA	NA
cg00512484	NA	1	NA
cg00512602	1	NA	NA
cg00512622	1	NA	NA
cg00512709	1	NA	NA
cg00512739	NA	1	NA
cg00513220	1	NA	NA
cg00513288	NA	1	NA
cg00514202	1	NA	NA
cg00514284	1	NA	NA
cg00514514	1	NA	NA
cg00514971	1	NA	NA
cg00515437	NA	1	NA
cg00515669	NA	1	NA
cg00516582	NA	1	NA
cg00517270	NA	1	NA
cg00517407	1	NA	NA
cg00517535	1	NA	NA
cg00518152	1	NA	NA
cg00518468	NA	1	NA
cg00518770	1	NA	NA
cg00518941	NA	1	NA
cg00519463	NA	1	NA
cg00520188	1	NA	NA
cg00520408	NA	1	NA
cg00522328	1	NA	NA
cg00522451	NA	1	NA
cg00523240	1	NA	NA
cg00523628	NA	1	NA
cg00523683	NA	1	NA
cg00524577	1	NA	NA
cg00525044	1	NA	NA
cg00525722	NA	1	NA
cg00525833	1	NA	NA
cg00525834	NA	1	NA
cg00525874	NA	1	NA
cg00526455	NA	1	NA
cg00526576	1	NA	NA
cg00527825	NA	1	NA
cg00528040	1	NA	NA
cg00529810	1	NA	NA
cg00531054	1	NA	NA
cg00531965	1	NA	NA
cg00532122	NA	1	NA
cg00532477	1	NA	NA
cg00532659	1	NA	NA
cg00532667	1	NA	NA
cg00533934	1	1	NA
cg00533990	NA	1	NA
cg00534215	NA	1	NA
cg00534492	1	NA	NA
cg00534858	1	NA	NA
cg00536472	NA	1	NA
cg00537607	1	NA	NA
cg00537614	1	NA	NA
cg00538495	1	NA	NA
cg00539049	NA	1	NA
cg00539325	1	NA	NA
cg00539908	NA	1	NA
cg00540295	NA	1	NA
cg00540558	NA	1	NA
cg00540941	NA	1	NA
cg00541002	1	NA	NA
cg00541156	1	NA	NA
cg00541500	1	NA	NA
cg00541956	NA	1	NA
cg00542127	NA	1	NA
cg00542384	1	NA	NA
cg00543456	1	NA	NA
cg00545199	NA	1	NA
cg00546078	1	NA	NA
cg00546757	NA	1	NA
cg00547304	1	NA	NA
cg00547312	NA	1	NA
cg00547318	1	NA	NA
cg00547444	1	NA	NA
cg00547758	NA	1	NA
cg00547839	1	NA	NA
cg00548296	NA	1	NA
cg00549219	1	NA	NA
cg00550040	1	NA	NA
cg00551088	NA	1	NA
cg00551244	1	NA	NA
cg00551387	1	NA	NA
cg00551589	1	NA	NA
cg00551654	1	NA	NA
cg00551733	NA	1	NA
cg00552973	1	NA	NA
cg00554192	1	NA	NA
cg00554640	1	1	NA
cg00555036	1	NA	NA
cg00555293	NA	1	NA
cg00555695	1	NA	NA
cg00556570	1	NA	NA
cg00556614	1	NA	NA
cg00557630	NA	1	NA
cg00558297	1	1	NA
cg00561736	1	NA	NA
cg00561803	NA	1	NA
cg00562750	1	NA	NA
cg00562898	1	NA	NA
cg00563768	1	NA	NA
cg00563870	NA	1	NA
cg00564555	1	NA	NA
cg00564862	1	NA	NA
cg00566209	NA	1	NA
cg00566515	1	NA	NA
cg00567916	NA	1	NA
cg00568345	NA	1	NA
cg00568550	NA	1	NA
cg00569101	NA	1	NA
cg00570088	NA	1	NA
cg00570207	1	NA	NA
cg00570391	1	NA	NA
cg00570635	NA	1	NA
cg00571519	NA	1	NA
cg00572146	1	NA	NA
cg00572487	1	NA	NA
cg00572756	1	NA	NA
cg00573140	1	NA	NA
cg00573410	1	NA	NA
cg00574114	1	NA	NA
cg00574513	1	NA	NA
cg00574919	1	NA	NA
cg00575135	1	NA	NA
cg00576139	1	NA	NA
